input,candidate,reference
"Airline passengers will be able to use their electronic devices gate-to-gate to read, work, play games, watch movies and listen to music - but not talk on their cellphones - under much-anticipated new guidelines issued Thursday by the Federal Aviation Administration.","Flugzeuge, die ihre elektronischen Geräte Gate-Gates nutzen, um das Spielen, Spiele, Filme und Musik zu lesen - aber nicht über ihre Zell-phones - unter vielen neuen Leitlinien, die am Donnerstag von der Federal Aviation Administration erlassen wurden.","Flugreisende können jetzt vom Abflug bis zur Landung ihre elektronischen Geräte zum Lesen, Arbeiten, Spielen, Musik hören und dem Ansehen von Filmen verwenden, nicht aber mit dem Handy telefonieren, so die neuen Richtlinien, die am Donnerstag von der Federal Aviation Administration (FAA) in den USA herausgegeben wurden."
Frankfurt parking fees to increase dramatically,Frankfurt Parkgebühren steigen dramatisch an.,Frankfurter Parkgebühren sollen kräftig steigen
"Perhaps this is why Daniel Büttner is not a vocal fan of evening events: ""You just cannot please everyone"".","Vielleicht ist dies der Grund, warum Daniel Büttner nicht ein Vokalender von Abendveranstaltungen ist: ""Du kannst nicht jedem einfach sein"".","Vielleicht ist Daniel Büttner auch deswegen kein ausgesprochener Fan von Event-Abenden: ""Man kann's ja nun mal nicht allen Recht machen""."
"Scotland Yard said they had served a ""surrender notice"" on the 40-year-old Australian requiring him to appear at a police station, adding that failure to do so would make him further liable to arrest.","Schottland sagte, sie hätten eine ""Überhebung"" auf den 40 Jahre alten Australischen serviert, die ihn in einem Polizeistationsbündel anrufen müsse, und würde ihn dann zusätzlich zu diesem Misserfolg verantwortlich machen.","Scotland Yard erklärte, man habe dem 40-jährigen Australier eine „Aufforderung, sich zu stellen“ zugestellt, die ihn zum Erscheinen in einer Polizeiwache auffordere, und fügte hinzu, sollte er dem nicht nachkommen, drohe ihm die Verhaftung."
"Due to the elaborate configuration of the tunnel, investigators are working on the assumption that it was build by architects and engineers and that the construction took around one year.","Aufgrund der aufwendigen Konfiguration des Tunnels arbeiten Forscher an der Annahme, dass es von Architekten und Ingenieuren bauen und dass die Konstruktion um ein Jahr gedauert hat.","Wegen der aufwendigen Ausstattung des Tunnels gehen die Ermittler davon aus, dass er von Architekten und Ingenieuren konstruiert wurde und dass der Bau rund ein Jahr in Anspruch nahm."
"""Customers are mortgaging items that they already own, and monetising personal assets does not increase household debt,"" she says.","""Die Kunden sind Produkte, die bereits selbst verursacht und die persönliche Vermögenswerte monetarisieren nicht die Haushaltskredite"", sagt sie.","„Kunden beleihen Gegenstände, die sie bereits besitzen, und das Verflüssigen persönlicher Wertgegenstände vergrößert nicht die Haushaltsverschulung“, erläutert sie."
"I'm sure Fenton was helped by his cute clothes, he really looked the part.","Ich bin sicher, Fenton wurde von seinen lieben Kleider geholfen, er sah wirklich den Teil.","Ich bin mir sicher, dass Fentons süße Kleidung ihren Teil dazu beigetragen hat, das passte wirklich perfekt zum Anlass."
They had searched frantically for their missing dog and posted appeals on social networking sites after she had ran into the quarry following the minor accident.,"Sie hatten nach ihrem fehlenden Hund aufgeklärt und Appelle auf Social Networking-Sites gesucht, nachdem sie nach dem kleinen Unfall in den Steinbruch gelangt war.","Sie hatten verzweifelt nach ihrer vermissten Hündin gesucht und Hilferufe in sozialen Netzwerken veröffentlicht, als sie nach dem kleinen Verkehrsunfall in den Steinbruch entlaufen war."
DDoS attacks are designed to flood a target website with traffic until the servers are overloaded and the site collapses.,"DDoS Attacken wurden entwickelt, um eine Ziel-Website mit dem Datenverkehr zu überfluten, bis die Server überfüllt sind und die Website zusammenbricht.","Bei derartigen Angriffen wird die Zielwebsite mit Seitenaufrufen überflutet, bis die Server überlastet sind und die Website zusammenbricht."
"This was made clear by the former NSA employee, currently sought by the USA, in an open letter that Green Party politician Hans-Christian Ströbele made public on Friday following a meeting with Snowden, and passed on to the Federal Government, the Federal Parliament and the Federal Public Prosecutor General.","Dies wurde von dem ehemaligen Hafenmächte, der gegenwärtig von den USA angestrebten, in einem offenen Brief deutlich gemacht, dass die Politikerin der Grünen Partei Hans-Christian Ströbele nach einem Treffen mit Snowden öffentlich gemacht und an die Bundesregierung, das Bundesparlament und die Bundesanstalt gebilligt hat, am Freitag veröffentlicht hat.","Das hat der von den USA gesuchte ehemalige NSA-Mitarbeiter in einem nicht adressierten Schreiben klargemacht, das der Grünen-Politiker Hans-Christian Ströbele am Freitag nach einem Treffen mit Snowden veröffentlichte und an Bundesregierung, Bundestag und Generalbundesanwalt weiterleitete."
"The Mikwe is to form part of an archaeological area at the Town Hall Square, on which construction work is set to begin shortly.","Der Mikwe ist Teil eines archäologischen Gebiets am Rathausplatz, auf dem der Bau kurz begonnen wird.","Die Mikwe wird Teil einer archäologischen Zone auf dem Rathausplatz, für das die Bauarbeiten in Kürze beginnen sollen."
The officials found this strange and so continued to investigate.,Die Beamten fanden diese merkwürdige und so fortgesetzte Untersuchung.,"Weil den Beamten dies merkwürdig vorkam, ermittelten sie weiter."
"In a collage of prose texts For his performance piece, ""Wetterleuchten auf der Zungenspitze"" (Summer lightning on the tip of your tongue), which can now be seen in Garage X on Petersplatz, Gerhard Fresacher,creates a collage of prose texts.","In einer Sammlung von Prosa-Texte für sein Leistungsstück ""Wetterleuchten auf der Zungenspitze"" (Sommer blitzsicht auf der Zunge), die jetzt in Garage X am Petersplatz, Gerhard Fresacher, erzeugt eine Collage von Prosa.","Collage aus Prosatexten Gerhard Fresacher stellt für seine Aufführung ""Wetterleuchten auf der Zungenspitze"", die nun in der Garage X am Petersplatz zu sehen ist, daher eine Collage aus Prosatexten zusammen."
"At the crossing, the town is planning to increase the height of the mouth of the tunnel to the west of the railway line.","Am Kreuzungsabschnitt plant die Stadt, die Mühle des Tunnels im Westen der Bahnlinie zu erhöhen.","Dort plant die Stadt, in Höhe des dortigen Tunnelmundes westlich der Bahngleise eine Ausbuchtung zu bauen."
"Furthermore, last year the listing of Facebook on the stock exchange caused quite a furore.",Außerdem verursachte im letzten Jahr die Auflistung von Facebook auf der Börse ein ganz furore.,Für Aufsehen hatte zudem im vergangenen Jahr der Börsengang von Facebook gesorgt.
"Experts say violence that left 14 adults and seven children dead is nothing more than random chance, not a sign of growing violence in America.","Experten sagen Gewalt, dass 14 Erwachsene und sieben Kinder tot sind, nichts anderes als Zufall zu erklären, nicht ein Zeichen wachsender Gewalt in Amerika.","Experten sagen, dass das Gewaltverbrechen, bei dem 14 Erwachsene und sieben Kinder starben, nichts als reiner Zufall sei und kein Zeichen für wachsende Gewalt in Amerika."
"Last month, National Transportation Safety Board Mark Rosenker, a CBS News national transportation safety expert, said that cell phones are still considered a risk.","Im vergangenen Monat, National Transportation Safety Board Mark Rosenker, ein nationaler Sicherheits-Experte CBS News, sagte, dass Mobiltelefone immer noch als ein Risiko angesehen werden.","Letzten Monat sagte Mark Rosenker von der Verkehrssicherheitsbehörde National Transportation Safety Board, Sicherheitsexperte für nationale Verkehrsfragen auf CBS News, Handys würden noch immer als Risiko betrachtet."
"The interior has racing seats and six-point harness belts, as well as an intercom system.",Das Interieur hat Rennsitzen und Sechs-Punkte Gärtnereien sowie ein Intercom-System.,Im Interieur finden sich Rennsitze und Sechs-Punkt-Gurte sowie eine Freisprechanlage.
"With an encryption using the OpenPGP standard, an e-mail can be effectively protected against being read.",Mit einer Verschlüsselung mit dem OpenPGP-Standard kann eine E-Mail effektiv gegen das Lesen geschützt werden.,Mit einer Verschlüsselung nach dem OpenPGP-Standard kann eine E-Mail wirksam gegen Mitlesen verschlüsselt werden.
"""No,"" Mr Tripodi replied.","""Nein"", antwortete Herr Tripodi.","„Nein“, antwortete Tripodi."
Participants must then prove their skill and strength by carrying a bucket of water 50 metres.,Die Teilnehmer müssen sich dann mit einer Eimerquelle von 50 m beweisen.,Geschicklichkeit und Kraft müssen die Teilnehmer beim Wassereimertragen über 50 Meter unter Beweis stellen.
"According to The Star newspaper, the new bill will effectively hand the government ""a stranglehold over the media,"" while The Standard said democracy and free speech in Kenya had been ""dealt a major blow"" and lambasted the bill as ""draconian.""","Nach der Zeitung The Star wird die neue Gesetzgebung die Regierung ""einen Würfel über die Medien"" wirksam übernehmen, während der Standard sagte, Demokratie und Redefreiheit in Kenia sei ""in einem großen Schlag"" gewesen, und die Gesetzesentwürfe als ""akdrianisch"" begeistert gespreuert hatte.","Laut der Zeitung The Star nehme die Regierung durch das neue Gesetz „die Medien effektiv in einen Würgegriff“. Dagegen schreibt The Standard, Demokratie und Redefreiheit in Kenia hätten „einen schweren Schlag“ erlitten, und betitelte den Entwurf als „drakonisch“."
All tickets remain valid for these shows.,Alle Tickets bleiben für diese Shows gültig.,Alle Tickets behalten für diese Shows Gültigkeit.
Planes modified for Wi-Fi systems are also more resistant to interference.,Plane modifiziert für WLAN-Systeme sind auch resistenter gegen Einmischungen.,Die an Wi-Fi-Systeme angepassten Flieger sind auch unempfindlicher gegenüber Interferenzen.
"Her owners Scott Alderson, 25, and his girlfriend Becky Hall, 20, were at Flappit Quarry in Denholme, West Yorkshire, to be reunited with Ruby and have thanked West Yorkshire Fire and Rescue Service.","Ihre Besitzerin Scott Alderson, 25 und seine Freundin Olivialdeulinge, 20, waren bei Flappit Quarry in Denholme, West Yorkshire, um sich mit Ruby zu vereinigen und haben West Yorkshire Fire und Rescue Service gedankt.","Scott Alderson, 25, und seine Freundin Becky Hall, 20, denen der Hund gehört, kamen zum Steinbruch Flappit in Denholme, West Yorkshire, um Ruby wieder in Empfang zu nehmen und sich bei den Feuerwehrleuten des West Yorkshire Fire and Rescue Service zu bedanken."
"The host of old games, such as wheelbarrow racing or walking on stilts, promises plenty of fun.","Die Menge der alten Spiele, wie Radbarrow, Laufen oder Fuß auf Stilts, verspricht viel Spaß.","Viel Spaß versprechen auch die vielen alten Spiele, wie Schubkarren-Rennen oder Stelzenlaufen."
I can find everything I need locally.,"Ich finde alles, was ich vor Ort brauche.","Alles, was ich brauche, finde ich vor Ort."
"Schools urged to focus more on maths, spelling and grammar","Schulen drängten sich darauf, sich mehr auf Mathematik, Rechtschreibung und Grammatik zu konzentrieren","Schulen werden zu größerem Fokus auf Mathematik, Rechtschreibung und Grammatik angehalten"
The most beautiful rabbits of various breeds and colourings will be presented at the District Exhibition this weekend in the community centre.,Die schönsten Kaninchen verschiedener Rassen und Farben werden auf der Distriktausstellung dieses Wochenende im Gemeindezentrum präsentiert.,Die schönsten Kaninchen verschiedener Rassen und Farbenschläge präsentiert die Kreisverbandsleistungsschau an diesem Wochenende im Bürgerhaus.
What is wrong with people who continually throw their fast food bags out of the car window?!,"Was ist falsch mit Menschen, die ständig ihre Fast Food Taschen aus dem Auto-Fenster werfen?!","Denn was muss einem fehlen, dass man mit steter Regelmäßigkeit seine Fastfood-Tüten aus dem Autofenster wirft?!"
"At the weekend in particular, discarded paper bags can be found at the side of the road and in car parks.",Insbesondere am Wochenende können auf der Straße und in Parkplätzen ausgeworfene Papierstücke gefunden werden.,Vor allem an den Wochenenden liegen weggeworfene Papiertüten an Straßenrändern und auf Parkplätzen.
"Transport minister Baroness Kramer said the project would ""bring the UK together.""","Der Verkehrsminister, Baronin, sagte, das Projekt würde ""Brücke des Vereinigten Königreichs"".","Verkehrsministerin Baroness Kramer sagte, das Projekt „wird Großbritannien näher zusammenbringen“."
This was a very unusual call-out.,Dies war ein sehr ungewöhnliches Call-out.,Das war ein ziemlich ungewöhnlicher Einsatz.
Among those pressing for a relaxation of restrictions on passengers' use of the devices has been Amazon.com.,"Unter denen, die für eine Entspannung der Beschränkungen bei der Nutzung der Geräte eintreten, ist der Amazon.com.",Zu den Verfechtern einer Lockerung der Einschränkungen für die Gerätenutzung durch Passagiere zählt Amazon.com.
"On the predominantly empty stage - with one important requirement: a crumpled sofa, on which cast members allude to copulating and masturbating - the eight-person ensemble work their way through the text material.","Auf der vorwiegend leeren Bühne - mit einer wichtigen Anforderung: ein klebendiges Sofa, auf dem die Mitglieder zu kopieren und zu kopieren - das acht Personen-Ensemble arbeitet mit dem Textmaterial.","Auf der weitgehend leergeräumten Bühne - wichtiges Requisit: ein zerknautschtes Sofa, auf dem andeutungsweise kopuliert und masturbiert wird - hangelt sich das achtköpfige Ensemble durch das Textmaterial."
Gender nonconforming boys now have special camp.,Die geschlechtsnähe Nicht-Konformitäten Jungen haben jetzt ein besonderes Lager.,Nicht mit dem Geschlechterbild übereinstimmende Jungen haben jetzt ein spezielles Camp.
Yet there is an interesting point lost in this retelling of a whiskery old tale.,Diese Wiederholung einer alten Geschichte ist jedoch interessant.,Dabei geht ein interessanter Punkt beim ständigen Wiederholen dieser uralten Geschichte verloren.
"He firmly defended his German compatriot: ""In each individual situation I would have behaved in the same way as Roger Schmidt"".","Er verteidigte seine deutsche Landsmänner: ""In jeder einzelnen Situation hätte ich auf dieselbe Weise wie Roger Schmidt verhalten können "".","Seinen deutschen Landsmann verteidigte er dezidiert: ""Da hätte ich mich in jeder einzelnen Situation gleich verhalten wie Roger Schmidt""."
"The antibodies hunt down any nicotine molecules in the bloodstream, neutralising them before they reached the brain, preventing a smoker from getting a nicotine hit.","Die Antikörperjägerjägerinnenjägerinnenjäger in den Blutbahnen, die sie neutralisieren, bevor sie das Gehirn erreicht haben, verhindern, dass ein Raucher einen Eid erreicht.","Die Antikörper jagen die Nikotinmoleküle im Blut und neutralisieren sie, ehe sie das Gehirn erreichen, wodurch ein Raucher kein Nikotin-High erfährt."
"Due to the time difference, the pupils had been on the go for almost 24 hours, however, true to the slogan, ""the city never sleeps"", the day was rounded off with a trip to Times Square.","Aufgrund der Zeitdifferenz war die Schüler auf dem Weg für fast 24 Stunden, aber wahr, um das Los, ""die Stadt niemals schläft"", war der Tag abgerundet mit einer Reise zum Times Square.","Durch die Zeitverschiebung waren die Schüler fast 24 Stunden auf den Beinen, aber getreu dem Motto ""Die Stadt schläft nicht"" wurde der Tag am Times Square beschlossen."
Was given a three-year prison sentence at Liverpool Crown Court,Wurde eine dreijährige Haftstrafe in Liverpool's Gericht,Er wurde vom Liverpooler Crown Court zu drei Jahren Gefängnis verurteilt
"In the conflict regarding the tax on the wealthy, the government and the professional football association in France have manoeuvred into a cul-de-sac following a failed mediation meeting.","Im Konflikt zur Steuer auf die Reichen, der Regierung und der professionellen Fußballverband in Frankreich haben sich nach einer fehlgeschlagenen Vermittlungssitzung eine Sackgasse zu einer Sackgasse verlieren.",Im Konflikt um die Reichensteuer haben sich die Regierung und der Profi-Fussball in Frankreich nach einem gescheiterten Schlichtungstreffen in eine Sackgasse manövriert.
Nevada has already completed a pilot.,Nevada hat bereits einen Piloten beendet.,Nevada hat bereits ein Pilotprojekt abgeschlossen.
"Dog behaviour expert John Bradshaw, a visiting fellow at the University of Bristol's school of veterinary science, said this was not the first study to examine whether left and right were important to canines.","Neben dem Studium der Medizinischen Forschung und Lehre, der sich aus der medizinischen Versorgung mit John Bradshaw ergebenden Kontakten zusammensetzte, war es nicht die erste Studie, die erforscht hat, ob die Linke und das Recht wichtig war zu können.","John Bradshaw, Experte für Hundeverhalten und Gaststipendiat an der Fakultät für Tierheilkunde der Universität von Bristol erklärte, dies sei nicht die erste Studie gewesen, bei der untersucht wurde, ob links und rechts für Hunde wichtig sei."
He told the FT that he meant the agreement was no longer being respected by Frelimo.,"Er sagte den Freitag, dass er das Abkommen bedeutete, nicht mehr von Frelimo respektiert werden.","Gegenüber der FT erklärte er, damit habe er gemeint, dass Frelimo die Vereinbarung nicht mehr respektiere."
Last year a team from the University of Lincoln found that dogs turn their heads to the left when looking at an aggressive dog and to the right when looking at a happy dog.,"Letztes Jahr hat ein Team von der Universität von Lincoln gefunden, dass Hunde ihre Köpfe nach links, wenn sie sich aggressiver Hunde und rechts, wenn sie sich einen glücklichen Hund betrachten.","Letztes Jahr fand ein Team der Universität von Lincoln heraus, dass Hunde den Kopf nach links drehen, wenn sie einen aggressiven Hund ansehen, und nach rechts, wenn es sich um einen zufriedenen Hund handelt."
Königsfeld: Small team gives a spirited performance,Königsfeld: Kleines Team gibt eine Leistungsbilanz unter Leistung von Leistungen.,Königsfeld: Kleine Mannschaft schlägt sich wacker
The citizens of Pfullendorf will have to adjust to high electricity costs.,Die Bürger von Pfullendorf werden sich an hohe Stromkosten anpassen müssen.,Die Bürger Pfullendorfs müssen sich auf höhere Stromkosten einstellen.
It was amazing to get her back in our arms.,"Es war schon erstaunlich, sie wieder in unseren Arme zu holen.","Es war wundervoll, sie wieder in den Armen zu halten."
"Today at Liverpool Crown Court Ditta, who works at law firm Forbes Solicitors, based in Blackburn, was facing disgrace after being found guilty of two counts of perverting the course of justice following a three week trial at Liverpool Crown Court.","Heute bei Liverpool Crown Ditta, der bei der Rechtsanwaltskanzlei Forbes Solicitors, mit Sitz in Blackburn arbeitet, war es eine Schande, dass sie nach einem dreijährigen Gerichtsverfahren in Liverpool Crown, dem Gerichtsverfahren in der Verfassung für zwei Amtszeiten projiziert wurde, nach einem Gerichtsverfahren anlässlich des Gerichtsverfahrens in Liverpool Crown, in der Rechtsprechung.","Heute wurde Ditta, der für die Kanzlei Forbes Solicitors in Blackburn arbeitet, am Liverpooler Crown Court nach einem dreiwöchigen Verfahren in zwei Anklagepunkten wegen Behinderung der Justiz für schuldig befunden und verurteilt."
There will hardly be any squad changes in the winter transfer window.,Es wird kaum eine Veränderung im Wintertransfer-Fenster geben.,Kaderänderungen in der Winter-Transferzeit werde es kaum geben.
"""And a baguette with it - that's my thing,"" she revealed to the NRZ.","""Und eine Baguette mit es - das ist meine Sache,"" zeigte sie der NRZ.","""Dazu ein Baguette - das ist mein Ding"", verrät sie der NRZ."
Normally cocaine is smuggled in smaller quantities and not through tunnels.,Der normale Kokain wird in kleineren Mengen geschmuggelt und nicht durch Tunnel.,Normalerweise wird Kokain in kleineren Mengen und nicht durch Tunnel geschmuggelt.
The projects are planned to start in 2028 and 2034.,"Die Projekte sind geplant, 2028 und 2034 zu starten.",Der Start wird voraussichtlich 2028 und 2034 sein.
"Former NSW minister Joe Tripodi has denied changing maritime leases policy at the request of his political mentor Eddie Obeid, who had hidden interests in three properties on government-controlled land.","Der ehemalige Minister Joe Tripodi hat auf Ersuchen seines politischen Mentors Eddie Obeid verweigert, der sich in drei Eigenschaften auf staatlich kontrollierte Land versteckt hatte.","Der ehemalige NSW-Minister bestreitet, die Regelungen zur Maritimverpachtung auf Bitte seines politischen Mentors Eddie Obeid geändert zu haben, der verdeckte Beteiligungen an drei Grundstücken auf staatlich kontrolliertem Land besaß."
